id,brand,model,price,memory,screen,camera,network,color,number_reviews,rating,delivery_time,pickup_time,date,webpage
13899724,apple,iphone 15 pro max,1149.0,256 GB,6.7,48.0,5G,nature titanium,5.0,5.0,,,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-max-256-gb-titan-natur-6-7-48-mp-5g--p0013899724
13899694,apple,iphone 15 pro,929.0,128 GB,6.1,48.0,5G,nature titanium,4.0,4.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-128-gb-titan-natur-6-1-48-mp-5g--p0013899694
13899698,apple,iphone 15 pro,1029.0,256 GB,6.1,48.0,5G,titanium black,4.0,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-256-gb-titan-schwarz-6-1-48-mp-5g--p0013899698
13899695,apple,iphone 15 pro,929.0,128 GB,6.1,48.0,5G,blue titanium,3.0,4.5,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-128-gb-titan-blau-6-1-48-mp-5g--p0013899695
1018396,apple,iphone 13,549.0,128 GB,6.1,12.0,5G,rosé,4.0,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-13-5g-128-gb-6-1-12-mp-ros%C3%A9--p0002866475
13899725,apple,iphone 15 pro max,1149.0,256 GB,6.7,48.0,5G,blue titanium,9.0,5.0,,,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-max-256-gb-titan-blau-6-7-48-mp-5g--p0013899725
1023783,samsung,galaxy s22,499.0,256 GB,6.1,50.0,5G,phantom black,3.0,4.5,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s22-5g-256-gb-6-1-50-mp-phantom-black--p0002986162
13899700,apple,iphone 15 pro,1029.0,256 GB,6.1,48.0,5G,nature titanium,6.0,5.0,,,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-256-gb-titan-natur-6-1-48-mp-5g--p0013899700
1018394,apple,iphone 13,549.0,128 GB,6.1,12.0,5G,midnight,7.0,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-13-5g-128-gb-6-1-12-mp-mitternacht--p0002866473
13899722,apple,iphone 15 pro max,1149.0,256 GB,6.7,48.0,5G,titanium black,3.0,5.0,,,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-max-256-gb-titan-schwarz-6-7-48-mp-5g--p0013899722
13899692,apple,iphone 15 pro,929.0,128 GB,6.1,48.0,5G,titanium black,,,,,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-128-gb-titan-schwarz-6-1-48-mp-5g--p0013899692
1018398,apple,iphone 13,549.0,128 GB,6.1,12.0,5G,blue,3.0,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-13-5g-128-gb-6-1-12-mp-blau--p0002866477
14040884,samsung,galaxy a54 5g,399.95,128 GB,6.4,50.0,5G,awesome graphite,5.0,4.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-a54-5g-128-gb-awesome-graphite-6-4-50-mp-5g--p0014040884
1018395,apple,iphone 13,549.0,128 GB,6.1,12.0,5G,polar star,8.0,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-13-5g-128-gb-6-1-12-mp-polarstern--p0002866474
13899652,apple,iphone 15,849.0,256 GB,6.1,48.0,5G,black,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-256-gb-schwarz-6-1-48-mp-5g--p0013899652
14074050,samsung,galaxy a15,179.95,128 GB,6.5,50.0,,"black, blue",,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-a15-128-gb-schwarz-blau-6-5-50-mp--p0014074050
13899701,apple,iphone 15 pro,1029.0,256 GB,6.1,48.0,5G,blue titanium,6.0,5.0,,,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-256-gb-titan-blau-6-1-48-mp-5g--p0013899701
13899644,apple,iphone 15,749.0,128 GB,6.1,48.0,5G,black,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-128-gb-schwarz-6-1-48-mp-5g--p0013899644
9071549,apple,iphone 14,629.0,128 GB,6.1,12.0,5G,midnight,10.0,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-14-5g-128-gb-6-1-12-mp-mitternacht--p0009071549
6242449,apple,iphone 13,549.0,128 GB,6.1,12.0,5G,green,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-13-5g-128-gb-6-1-12-mp-gr%C3%BCn--p0006242449
14074051,samsung,galaxy a15,179.95,128 GB,6.5,50.0,,blue,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-a15-128-gb-blau-6-5-50-mp--p0014074051
13899723,apple,iphone 15 pro max,1149.0,256 GB,6.7,48.0,5G,titanium white,,5.0,,,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-max-256-gb-titan-weiss-6-7-48-mp-5g--p0013899723
6242465,apple,iphone se 2022,429.0,128 GB,4.7,12.0,5G,midnight,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-se-2022-5g-128-gb-4-7-12-mp-mitternacht--p0006242465
13899647,apple,iphone 15,749.0,128 GB,6.1,48.0,5G,blue,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-128-gb-blau-6-1-48-mp-5g--p0013899647
13899699,apple,iphone 15 pro,1029.0,256 GB,6.1,48.0,5G,titanium white,,,,,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-256-gb-titan-weiss-6-1-48-mp-5g--p0013899699
6242460,apple,iphone se 2022,389.0,64 GB,4.7,12.0,5G,midnight,3.0,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-se-2022-5g-64-gb-4-7-12-mp-mitternacht--p0006242460
13899668,apple,iphone 15 plus,849.0,128 GB,6.7,48.0,5G,black,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-plus-128-gb-schwarz-6-7-48-mp-5g--p0013899668
13899707,apple,iphone 15 pro,1279.0,512 GB,6.1,48.0,5G,blue titanium,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-512-gb-titan-blau-6-1-48-mp-5g--p0013899707
13899655,apple,iphone 15,849.0,256 GB,6.1,48.0,5G,blue,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-256-gb-blau-6-1-48-mp-5g--p0013899655
13899653,apple,iphone 15,849.0,256 GB,6.1,48.0,5G,pink,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-256-gb-pink-6-1-48-mp-5g--p0013899653
13899693,apple,iphone 15 pro,929.0,128 GB,6.1,48.0,5G,titanium white,,5.0,,,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-128-gb-titan-weiss-6-1-48-mp-5g--p0013899693
14103192,samsung,galaxy a55 5g,479.95,256 GB,6.6,50.0,5G,awesome lilac,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-a55-5g-256-gb-awesome-lilac-6-6-50-mp-5g--p0014103192
13899671,apple,iphone 15 plus,849.0,128 GB,6.7,48.0,5G,blue,3.0,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-plus-128-gb-blau-6-7-48-mp-5g--p0013899671
1018401,apple,iphone 13,649.0,256 GB,6.1,12.0,5G,midnight,4.0,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-13-5g-256-gb-6-1-12-mp-mitternacht--p0002866480
14070424,samsung,galaxy s24,799.0,256 GB,6.2,50.0,5G,onyx black,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s24-256-gb-onyx-black-6-2-50-mp-5g--p0014070424
13685800,samsung,galaxy s23 ultra,849.0,256 GB,6.8,200.0,5G,phantom black,6.0,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s23-ultra-5g-256-gb-6-8-200-mp-phantom-black--p0013685800
9071623,apple,iphone 14,629.0,128 GB,6.1,12.0,5G,blue,6.0,4.5,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-14-5g-128-gb-6-1-12-mp-blau--p0009071623
13893050,google,pixel 7a,369.0,128 GB,6.1,64.0,5G,charcoal,3.0,3.5,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/google-pixel-7a-128-gb-charcoal-6-1-64-mp-5g--p0013893050
14040953,samsung,galaxy s23 fe,499.0,128 GB,6.4,50.0,5G,graphite,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s23-fe-128-gb-graphite-6-4-50-mp-5g--p0014040953
9071620,apple,iphone 14,629.0,128 GB,6.1,12.0,5G,polar star,4.0,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-14-5g-128-gb-6-1-12-mp-polarstern--p0009071620
13899645,apple,iphone 15,749.0,128 GB,6.1,48.0,5G,pink,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-128-gb-pink-6-1-48-mp-5g--p0013899645
14082838,xiaomi,redmi note 13 pro+,399.95,512 GB,6.67,200.0,5G,midnight black,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/xiaomi-redmi-note-13-pro-512-gb-midnight-black-6-67-200-mp-5g--p0014082838
13899705,apple,iphone 15 pro,1279.0,512 GB,6.1,48.0,5G,titanium white,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-512-gb-titan-weiss-6-1-48-mp-5g--p0013899705
13899730,apple,iphone 15 pro max,1349.0,512 GB,6.7,48.0,5G,nature titanium,5.0,5.0,,,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-max-512-gb-titan-natur-6-7-48-mp-5g--p0013899730
