id,brand,model,price,memory,screen,camera,network,color,number_reviews,rating,delivery_time,pickup_time,date,webpage
13899724,APPLE,iPhone 15 Pro Max,1149.0,256 GB,"6.7""",48 MP,5G,Titan Natur,5,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-max-256-gb-titan-natur-6-7-48-mp-5g--p0013899724
13899694,APPLE,iPhone 15 Pro,929.0,128 GB,"6.1""",48 MP,5G,Titan Natur,4,4.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-128-gb-titan-natur-6-1-48-mp-5g--p0013899694
13899692,APPLE,iPhone 15 Pro,929.0,128 GB,"6.1""",48 MP,5G,Titan Schwarz,,,innerhalb 1 - 2 Wochen geliefert,innerhalb 1 - 2 Wochen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-128-gb-titan-schwarz-6-1-48-mp-5g--p0013899692
13899695,APPLE,iPhone 15 Pro,929.0,128 GB,"6.1""",48 MP,5G,Titan Blau,3,4.5,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-128-gb-titan-blau-6-1-48-mp-5g--p0013899695
1018396,APPLE,iPhone 13,549.0,128 GB,"6.1""",12 MP,5G,Rosé,4,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-13-5g-128-gb-6-1-12-mp-ros%C3%A9--p0002866475
13899725,APPLE,iPhone 15 Pro Max,1149.0,256 GB,"6.7""",48 MP,5G,Titan Blau,9,5.0,,,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-max-256-gb-titan-blau-6-7-48-mp-5g--p0013899725
14040884,SAMSUNG,Galaxy A54 5G,399.95,128 GB,"6.4""",50 MP,5G,Awesome Graphite,5,4.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-a54-5g-128-gb-awesome-graphite-6-4-50-mp-5g--p0014040884
13899700,APPLE,iPhone 15 Pro,1029.0,256 GB,"6.1""",48 MP,5G,Titan Natur,6,5.0,,,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-256-gb-titan-natur-6-1-48-mp-5g--p0013899700
13899698,APPLE,iPhone 15 Pro,1029.0,256 GB,"6.1""",48 MP,5G,Titan Schwarz,4,5.0,,,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-256-gb-titan-schwarz-6-1-48-mp-5g--p0013899698
1018394,APPLE,iPhone 13,549.0,128 GB,"6.1""",12 MP,5G,Mitternacht,7,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-13-5g-128-gb-6-1-12-mp-mitternacht--p0002866473
13899722,APPLE,iPhone 15 Pro Max,1149.0,256 GB,"6.7""",48 MP,5G,Titan Schwarz,3,5.0,,,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-max-256-gb-titan-schwarz-6-7-48-mp-5g--p0013899722
1018398,APPLE,iPhone 13,549.0,128 GB,"6.1""",12 MP,5G,Blau,3,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-13-5g-128-gb-6-1-12-mp-blau--p0002866477
1018395,APPLE,iPhone 13,549.0,128 GB,"6.1""",12 MP,5G,Polarstern,8,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-13-5g-128-gb-6-1-12-mp-polarstern--p0002866474
13899652,APPLE,iPhone 15,849.0,256 GB,"6.1""",48 MP,5G,Schwarz,,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-256-gb-schwarz-6-1-48-mp-5g--p0013899652
13899701,APPLE,iPhone 15 Pro,1029.0,256 GB,"6.1""",48 MP,5G,Titan Blau,6,5.0,,,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-256-gb-titan-blau-6-1-48-mp-5g--p0013899701
6242449,APPLE,iPhone 13,549.0,128 GB,"6.1""",12 MP,5G,Grün,,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-13-5g-128-gb-6-1-12-mp-gr%C3%BCn--p0006242449
9071549,APPLE,iPhone 14,629.0,128 GB,"6.1""",12 MP,5G,Mitternacht,9,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-14-5g-128-gb-6-1-12-mp-mitternacht--p0009071549
